Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.914897151,5.001528051,5.936676005,6.759271746,9.495387383,10.82449749,9.825233017,10.84134133,11.89598849,5.856827534,4.9921062,4.398184809,4.567405377,3.993012556,8.392264114,12.58695476,4.245491959,10.24609634,15.07080492,15.56389267,16.92776192,16.52658719,,,
Afghanistan,AFG,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.734295122,1.687073261,1.800867683,3.465769509,1.107184099,1.34875385,1.668376713,1.75296667,1.191517328,1.624652553,,
Angola,AGO,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.211077478,2.464295163,2.402727961,2.036258121,2.489638196,2.544006078,1.194509437,0.734243796,0.556738775,0.808687735,0.891429156,2.412698166,1.798157073,1.036605129,0.645479784,0.776370723,0.735791048,0.628160033,0.639765831,0.9432567,1.024526347,3.207697861,4.303428934,,
Albania,ALB,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.272183688,2.249415152,1.895561834,2.80805657,3.699006553,21.47670888,16.86414645,21.12163545,22.37490048,23.12680884,23.08341192,24.28115703,24.90579768,24.4326591,28.04931697,25.11795461,24.9811634,23.47781353,26.07767387,27.07070815,25.83694128,24.58921142,24.04265363,,
Andorra,AND,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.51111549,10.14540929,8.719698796,8.352172725,8.878779036,9.547465058,7.170434498,8.682318703,8.613139218,8.114100638,7.858914296,7.788312006,8.553786869,8.935822528,10.03881522,9.752752641,,
United Arab Emirates,ARE,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.41379668,14.72583725,13.25723713,13.61427312,15.88909157,16.51102966,17.71339082,20.57400268,16.0057593,11.5297639,10.21352709,9.808086141,9.480554761,8.773101585,11.69016549,9.374886997,8.597772788,10.15265345,9.325395403,9.682883995,12.20002609,15.55154921,15.18616453,,
Armenia,ARM,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.601599974,2.867800841,4.607761617,5.496153474,5.645567294,5.679793969,5.446602049,7.042078339,6.341243109,11.29040846,11.37660646,11.18584368,11.09592931,9.74144974,12.63506655,14.12777155,15.37262794,17.03246044,18.38800405,20.06468233,23.92396564,24.77453614,23.15123409,,
American Samoa,ASM,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.24006413,5.563083946,5.645123821,5.919306919,5.667623005,6.219135589,6.576608738,6.9555741,6.545100237,6.41525169,5.85891288,5.498445201,5.577172205,6.09110677,7.643559715,7.511821279,7.636633261,7.125952669,7.003787714,9.612952472,11.27097994,11.07890085,10.69823409,,
Australia,AUS,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.08312944,10.63126441,10.73147758,10.43572504,10.36246439,10.26985249,10.29723037,9.684263756,9.616122654,10.96423446,10.6086965,10.17055229,10.71363372,10.37107933,11.05583389,10.96220498,10.90162874,10.56478417,11.18505925,10.5994667,10.56330555,12.60552693,13.63798121,,
Austria,AUT,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.436746537,5.963954625,5.484735475,5.304634833,6.309937193,5.451858291,4.801225959,4.793527938,4.73213106,5.005498976,6.015774185,6.06046118,6.079083656,,
Azerbaijan,AZE,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.78999373,6.466214032,9.185585959,7.4649149,7.766451847,6.819819384,5.587040695,3.537908041,2.525652208,2.257926855,2.760466536,3.2436013,4.113598813,4.063909251,4.986244403,8.362321412,11.31949681,15.0462233,15.55442682,16.0405933,14.87004567,15.68949586,16.38695619,,
Burundi,BDI,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.656419635,8.671583721,3.05834214,1.820018616,1.63703055,9.303117843,8.192113759,9.492306882,8.555807979,12.49702998,19.19547639,28.19227552,24.29785264,25.41039287,13.66275399,5.768512955,6.402538914,2.701752866,3.720912554,4.111246622,3.483088684,3.774111634,2.807074473,,
Belgium,BEL,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.120784273,6.453710524,6.207002834,6.061685242,5.998003775,5.406841275,4.656412409,5.797395703,5.184446964,4.77722025,5.437977935,5.756565184,6.068196357,5.836070329,5.612085339,5.481458701,,
